SndOrRecOrDrop  time  type  seq  size  ack
Send  8.889  普通应答包  0  0  274
Receive  8.89  数据包  295  104  0
Send  8.89  普通应答包  0  0  295
Receive  8.89  数据包  277  104  0
Send  8.89  普通应答包  0  0  277
Receive  8.89  数据包  296  104  0
Send  8.89  普通应答包  0  0  296
Receive  8.894  数据包  302  104  0
Send  8.894  普通应答包  0  0  302
Receive  8.894  数据包  300  104  0
Send  8.894  普通应答包  0  0  300
Receive  8.897  数据包  304  104  0
Send  8.897  普通应答包  0  0  304
Receive  8.897  数据包  303  104  0
Send  8.897  普通应答包  0  0  303
Receive  8.903  数据包  285  104  0
Send  8.903  普通应答包  0  0  285
Receive  8.905  数据包  288  104  0
Send  8.905  普通应答包  0  0  288
Receive  8.905  数据包  307  104  0
Send  8.905  普通应答包  0  0  307
Receive  8.905  数据包  237  104  0
Send  8.905  普通应答包  0  0  237
Receive  8.908  数据包  309  104  0
Send  8.908  普通应答包  0  0  309
Receive  8.908  数据包  310  104  0
Send  8.908  普通应答包  0  0  310
Receive  8.908  数据包  308  104  0
Send  8.908  普通应答包  0  0  308
Receive  8.911  数据包  311  104  0
Send  8.912  普通应答包  0  0  311
Receive  8.912  数据包  313  104  0
Send  8.912  普通应答包  0  0  313
Receive  8.915  数据包  315  104  0
Send  8.915  普通应答包  0  0  315
Receive  8.915  数据包  297  104  0
Send  8.915  普通应答包  0  0  297
Receive  8.915  数据包  273  104  0
Send  8.915  普通应答包  0  0  273
Receive  8.918  数据包  316  104  0
Send  8.918  普通应答包  0  0  316
Receive  8.918  数据包  318  104  0
Send  8.918  普通应答包  0  0  318
Receive  8.918  数据包  317  104  0
Send  8.918  普通应答包  0  0  317
Receive  8.921  数据包  320  104  0
Send  8.921  普通应答包  0  0  320
Receive  8.921  数据包  321  104  0
Send  8.921  普通应答包  0  0  321
Receive  8.925  数据包  323  104  0
Send  8.925  普通应答包  0  0  323
Receive  8.925  数据包  299  104  0
Send  8.925  普通应答包  0  0  299
Receive  8.926  数据包  298  104  0
Send  8.926  普通应答包  0  0  298
Receive  8.926  数据包  301  104  0
Send  8.926  普通应答包  0  0  301
Receive  8.929  数据包  326  104  0
Send  8.929  普通应答包  0  0  326
Receive  8.929  数据包  324  104  0
Send  8.929  普通应答包  0  0  324
Receive  8.932  数据包  328  104  0
Send  8.932  普通应答包  0  0  328
Receive  8.932  数据包  305  104  0
Send  8.932  普通应答包  0  0  305
Receive  8.933  数据包  329  104  0
Send  8.933  普通应答包  0  0  329
Receive  8.933  数据包  306  104  0
Send  8.933  普通应答包  0  0  306
Receive  8.937  数据包  332  104  0
Send  8.937  普通应答包  0  0  332
Receive  8.937  数据包  331  104  0
Send  8.937  普通应答包  0  0  331
Receive  8.94  数据包  312  104  0
Send  8.94  普通应答包  0  0  312
Receive  8.94  数据包  335  104  0
Send  8.94  普通应答包  0  0  335
Receive  8.943  数据包  337  104  0
Send  8.943  普通应答包  0  0  337
Receive  8.943  数据包  336  104  0
Send  8.943  普通应答包  0  0  336
Receive  8.946  数据包  338  104  0
Send  8.946  普通应答包  0  0  338
Receive  8.946  数据包  339  104  0
Send  8.946  普通应答包  0  0  339
Receive  8.947  数据包  314  104  0
Send  8.947  普通应答包  0  0  314
Receive  8.95  数据包  341  104  0
Send  8.95  普通应答包  0  0  341
Receive  8.952  数据包  319  104  0
Send  8.952  普通应答包  0  0  319
Receive  8.955  数据包  343  104  0
Send  8.955  普通应答包  0  0  343
Receive  8.955  数据包  322  104  0
Send  8.955  普通应答包  0  0  322
Receive  8.955  数据包  344  104  0
Send  8.955  普通应答包  0  0  344
Receive  8.958  数据包  346  104  0
Send  8.958  普通应答包  0  0  346
Receive  8.958  数据包  327  104  0
Send  8.958  普通应答包  0  0  327
Receive  8.959  数据包  345  104  0
Send  8.959  普通应答包  0  0  345
Receive  8.959  数据包  347  104  0
Send  8.959  普通应答包  0  0  347
Receive  8.961  数据包  350  104  0
Send  8.961  普通应答包  0  0  350
Receive  8.961  数据包  349  104  0
Send  8.962  普通应答包  0  0  349
Receive  8.962  数据包  348  104  0
Send  8.962  普通应答包  0  0  348
Receive  8.962  数据包  351  104  0
Send  8.962  普通应答包  0  0  351
Receive  8.968  数据包  355  104  0
Send  8.968  普通应答包  0  0  355
Receive  8.968  数据包  330  104  0
Send  8.968  普通应答包  0  0  330
Receive  8.968  数据包  333  104  0
Send  8.968  普通应答包  0  0  333
Receive  8.969  数据包  352  104  0
Send  8.969  普通应答包  0  0  352
Receive  8.969  数据包  353  104  0
Send  8.969  普通应答包  0  0  353
Receive  8.977  数据包  356  104  0
Send  8.977  普通应答包  0  0  356
Receive  8.978  数据包  358  104  0
Send  8.978  普通应答包  0  0  358
Receive  8.978  数据包  334  104  0
Send  8.978  普通应答包  0  0  334
Receive  8.979  数据包  357  104  0
Send  8.979  普通应答包  0  0  357
Receive  8.98  数据包  340  104  0
Send  8.98  普通应答包  0  0  340
Receive  8.98  数据包  360  104  0
Send  8.98  普通应答包  0  0  360
Receive  9.009  数据包  365  104  0
Send  9.009  普通应答包  0  0  365
Receive  9.009  数据包  359  104  0
Send  9.009  普通应答包  0  0  359
Receive  9.009  数据包  325  104  0
Send  9.009  普通应答包  0  0  325
Receive  9.009  数据包  366  104  0
Send  9.009  普通应答包  0  0  366
Receive  9.01  数据包  364  104  0
Send  9.01  普通应答包  0  0  364
Receive  9.01  数据包  342  104  0
Send  9.01  普通应答包  0  0  342
Receive  9.01  数据包  291  104  0
Send  9.01  普通应答包  0  0  291
Receive  9.01  数据包  361  104  0
Send  9.01  普通应答包  0  0  361
Receive  9.01  数据包  354  104  0
Send  9.01  普通应答包  0  0  354
Receive  9.011  数据包  362  104  0
Send  9.011  普通应答包  0  0  362
Receive  9.011  数据包  363  104  0
Send  9.011  普通应答包  0  0  363
Receive  9.02  数据包  371  104  0
Send  9.02  普通应答包  0  0  371
Receive  9.021  数据包  370  104  0
Send  9.021  普通应答包  0  0  370
Receive  9.021  数据包  375  104  0
Send  9.021  普通应答包  0  0  375
Receive  9.021  数据包  369  104  0
Send  9.021  普通应答包  0  0  369
Receive  9.021  数据包  367  104  0
Send  9.021  普通应答包  0  0  367
Receive  9.022  数据包  373  104  0
Send  9.022  普通应答包  0  0  373
Receive  9.022  数据包  368  104  0
Send  9.022  普通应答包  0  0  368
Receive  9.025  数据包  378  104  0
